	AEC	AF1	AF2	AM	ASMC	AT1	AT2	BCell	Basal	CAP1	CAP2	Ciliated	Deuterosomal	IM	LEC	MON	Mast	Mesothelial	NK	PC	PNEC	Plasma	Proliferating AT2	RAS	SCMF	Secretory	TCell	VEC	VSMC	cDC	pDC
FST	0.1602937056255543	1.0449756260540042	1.8345137715909283	0.15789077035041385	1.8390685025551696	0.07019106155834606	0.041737676633099734	0.0	1.8005682916321923	0.18234155579589997	0.07059785831052325	0.033256274353840334	0.0	0.22924266019592468	0.1764567712430993	0.10453057979093991	0.0	0.7523229996925589	0.14053434764331607	2.2844246372508117	0.496098026475535	0.0	0.0	0.144877244605573	2.449645776630802	0.0	0.18741598989108438	0.24202283343428826	3.7673283639090194	0.0	0.0
ACAN	0.2702218569972819	0.06718972060471712	0.051172851996405505	0.07638866873279554	0.0	0.050698794731232635	0.06167821337383795	0.0	0.0	0.28968368384222776	0.0	0.04961874188746507	0.0	0.0	0.0	0.08942169255721619	0.0	0.173349554107009	0.33922025727892785	0.5942709533278148	0.0	0.0	0.04085087669318448	0.04433739499109294	0.17808918170093097	0.1444634396331972	0.38440889635916264	0.0	2.7674192005496345	0.18328204012033367	0.0
JAG1	4.444643942853906	3.778669688492805	4.355097547833398	2.203589279315739	3.696016611462423	2.9077609732406033	2.5577985543016055	0.39994704441031204	4.716127603022785	4.450178808239395	4.666984534112601	3.3200548219339194	4.332910193362049	3.397139497625351	4.4002198466943625	2.399518755694657	1.8496333472929167	3.677751899370818	0.7405945313393644	4.086594188637825	4.130443586039862	0.0	2.0465336883985428	2.7868278777070885	2.9025832159439044	2.9509546356152887	0.7009133844372113	4.258452880078566	5.938000132756729	3.037550298818357	2.6108289359317864
AC093390.1	0.0	0.0	0.0	0.0	0.10674329985802172	0.0	0.0008129605948395019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8248401682418275	0.0	0.0
VIPR2	0.11921213757815406	0.1862079759368797	1.6080386051034332	0.04830142938210692	1.9152319148128198	0.024595225727410592	0.04734626763020451	0.0	0.15736664041701995	0.0981202022174203	0.10167621529511574	1.2400607554176832	0.09347582134486616	0.06261595253186843	0.3435154548020412	0.0	0.0	0.7908804318876096	2.676755180053643	0.43446880487686257	0.2971238265564145	0.0	0.023463026911886047	0.13024576096768606	0.41809581624607195	0.5771826034529308	1.3955281649152425	0.0	3.2805651819866957	0.0	3.3646019934736073
AC113167.1	0.0	0.05177703142176752	0.0	0.022793558344238057	0.2934479524059282	0.029199789238174127	0.024090544014995798	0.14162886246095804	0.0	0.0	0.0	0.01724110023407446	0.0	0.0	0.0	0.10244311695637737	0.0	0.0	0.0	0.09361087673224973	0.0	0.0	0.03638124203984891	0.0418665867597595	0.1639979842253351	0.03218253967031888	0.0	0.0	2.001876418013166	0.12490083066239069	0.0
GADL1	0.0	0.09957102947098458	0.2734195644566669	0.02083568981270602	1.2499009479707446	0.1503251047184735	0.06282757665845282	0.0813602210968151	0.0	0.35309208262061687	0.8414680762544832	0.2227242843472077	0.09664075360004128	0.0	0.16650568748602534	0.0	0.0	0.5206756748299858	0.0	0.4036098224930458	0.3118593951943411	0.0	0.05448217605743968	0.08324031158688953	0.7645082272802389	0.2881370971818016	0.0	0.21276653229248801	2.809059225038654	0.42224533589005236	0.0
LINC01568	0.07270427761943786	0.9925076796638906	0.33951113364714064	0.13232348860185453	2.5870729494838627	0.11365636054830651	0.08762898310262458	0.0	0.1357273124835051	0.16983234816988835	0.213225511839788	0.27528869533933537	0.0	0.4872072414927121	0.2153011963494201	0.0	0.5205455174365484	0.6623541519115447	0.0	1.6641772819622729	0.0	0.0	0.03253392226756974	0.11382846480172226	2.1455008615590567	0.10011036142784781	0.10346730721542004	0.3087243201955609	3.3081503937240377	0.0	0.0
KCNA5	0.0	0.011744642995764668	0.0	0.0	0.0	0.003722174776078549	0.0023230665118626984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07755789856421322	0.0	0.0	0.0	0.009506236328265192	0.0	0.0	0.0	0.0	1.1794400096568962	0.0	0.0
FOXL1	0.132321460431433	0.030258937876188902	0.11470335458985328	0.011912618270140923	0.8946334904514517	0.01868443986914897	0.00360688611984642	0.0	0.0	0.025571688560026475	0.05713546700206344	0.0	0.0	0.0	0.37629518284420954	0.0	0.0	0.33615295030783376	0.0	0.19948447681628853	0.0	0.0	0.0	0.006553640322005666	0.11720272184583282	0.0	0.053369727992165134	0.0	1.826580194132763	0.0	0.0
