	AF1	AF2	AT1	AT1_AT2	AT2	Adventitial_fibroblast	Alveolar_transitional	Arterial_endothelium	B_lymphocyte	CAP1	CAP2	Ciliated	Krt5	Lymphatic_endothelium	Mesothelium	NK_cell	Neutrophil	Peribronchial_fibroblast	Plasma_cell	Secretory	T_lymphocyte	VSMC	Venous_endothelium	aMAC	cDC1	cDC2	cMON	iMAC	iMON	maDC	pMON
Casp4	4.122233561466688	1.885852505417594	1.0318681366885023	1.4700777258566322	1.297329659507267	4.466431204932528	2.87843142798275	3.778358884834489	3.893291164637844	3.3250698247258414	2.7439385460202654	3.166689018184672	5.004936295011943	4.37885027842415	4.295213423962156	3.6247074089769793	4.882052593118881	3.8493855219284674	4.641489353229258	4.1664490630635935	3.896575981545119	3.584541439652991	3.808613378038993	4.109371274800569	3.305860872899092	4.393301587351942	4.9242000129909265	4.8136184191470255	5.3206146361510775	4.694254266022595	4.44766367068939
Prss46	0.007830504797116515	0.0	0.0	0.0	0.0	0.0	0.37886051195613635	0.0	0.0	0.0	0.0	0.0	0.049096132280541306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010194378517059906	0.0	0.0	0.0	0.07561574302158756	0.0	0.0	0.0	0.8096303590753495	0.0	0.0
Ifit3	3.9988068190150794	4.795088135633404	5.277307069102425	4.1963742469222165	2.2833309846785266	3.6305658719629808	5.11879370422744	4.0426412217434535	2.7275468343151927	4.141306765401071	3.619606178562095	3.8654391262311076	1.6994940767970281	2.912863796942455	4.039819314311425	2.699754593055541	4.11296127603449	3.955045777800326	1.0778478557381688	3.115304403147777	3.3034491891278677	4.137097969368713	3.942692496951231	1.2749869317850515	2.310091204194281	3.1640219590819862	3.68688213904485	2.298382121767862	5.745099165427856	2.1216879087838354	2.7463222995373786
Slfn10-ps	0.24441610003186673	0.4226437909126652	0.02013725498565124	0.1947717649785294	0.20840521027363382	0.5128302406772205	1.2248748774039007	0.8120105559593823	1.1773177440744693	0.6289834160125284	0.26674278617967573	0.5998602866621048	2.0107415066221836	0.7803238115862212	0.3302828530170158	2.8129779427382515	1.438714894968678	0.12424696787027986	1.2033135479729706	0.8727928408145175	2.18496938208024	0.29464841306339373	0.664531759118398	0.9136925139935247	0.6872002786856916	0.9724173084457232	1.4605315914912764	1.7012990723767794	3.0763868549808793	2.360559179169392	0.2364107868284373
Gm47242	0.00589021103301613	0.0	0.045816390099232926	0.0	0.061322721087273796	0.017215312801318917	0.11443847283858888	0.07214939649379984	0.3103026320039064	0.0031813667579821017	0.0	0.0	0.0	0.0	0.0	0.0	0.03210443696976752	0.0	0.0	0.0	0.11628419011902072	0.0	0.0	0.07561401496374286	0.0	0.0	0.47084498277000014	0.0	1.199498829665736	0.0	0.1301389758286744
Nt5c3	2.877058278635529	2.9804697466611128	2.9102446454033917	2.232354236817745	2.2553501184557825	2.7323004081805977	3.766355827369578	3.7015760273646436	3.5954506705860765	2.716774950933006	3.0843158707648537	3.2343566289921952	3.6711182798341153	2.758712441527901	3.543088493991097	4.10034170778628	3.099585065073235	3.212715867657094	2.871749309846236	2.827405560344536	3.8896564960066295	3.035976742030999	2.7550549586272752	3.7771703287886695	3.4193149013589186	3.749679268912303	3.520438083944939	2.6155512016357396	4.701229767622105	3.043296910845092	2.683596283148315
Chmp4b	5.455665982973444	5.42188975229342	5.505690883388228	4.84046965427476	4.781283167562297	5.267701617276084	5.904621108230654	4.843306527393998	5.129457872464181	4.774531406909469	5.059411742159351	5.289059857551668	5.409908894355839	4.982610663738203	5.439109488169654	5.463876676951367	5.483380824494597	5.5087352264533544	5.438721942661302	4.979506867020443	5.6768151227655395	5.4918692930316	4.841527817781462	5.8560663564426525	5.86915051540736	5.886735824320218	5.938022674648433	5.403255071804728	6.100884371757148	5.669392274828013	5.510887066001692
Psme2	4.984956877931633	5.000805984367803	5.379696916804339	4.933401711769965	4.852956342128866	5.214072979434754	6.201240860144228	5.395709802128116	5.510714879817614	5.499937537214057	5.399742345072822	4.774308559645279	5.663323475537915	5.286806412399656	5.670823119570787	5.71895927142106	4.5886241622894	5.37897677137748	5.830024823682366	5.279521440152738	6.199162434834182	5.316923952492191	5.434818235170539	5.719079849298344	6.4362035826369794	6.19718167771902	6.059638978066551	5.286091104767118	6.286148072726671	7.156613250694613	5.856318269971557
Cd5l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020813579127426172	0.0007464983845939608	0.04025736356223557	0.0	0.0	0.0	0.0	0.0	0.09338718042167209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25034321804467524	0.0	0.0	0.5940281184138375	1.261096080386214	0.0	0.20264056164003344
Serpina3g	3.158538397460719	1.8233589017190572	0.45585834127057406	1.2298558215891684	0.72825317163663	3.675869780927041	1.221914261056979	4.355096091307258	4.194621935074752	3.210336963558855	2.5057046135599066	0.6620964466735149	2.451040333905932	2.336866675427088	0.8836536310626625	3.980338689164263	0.9611856003049177	1.1876780254066268	4.706484750620298	1.1451683780774502	3.7732390495232218	0.7944827290227733	4.225694762765746	1.876706184299664	3.4189192644056687	3.582947041555647	1.3216066522763785	2.7858538904727377	5.005256194910649	3.515389571354012	2.0272154025668407
Ifih1	3.447698325298744	3.786158680305477	4.2259499709393555	3.5377384776063265	3.155452017866447	3.299363666889347	4.688206817975559	4.449332775574086	1.4845391183455257	4.18826342816415	3.8382514028931785	3.1715366909295333	3.410449831828489	3.200552115069404	4.234176568562949	3.0651523777919163	3.4136421264645898	3.2052746000602927	1.688003154034184	3.5931853873299713	3.106138622897797	3.2499935325150866	4.18025197290918	3.8992273520845817	3.613358381933774	4.026046291252384	4.415741532148443	3.621920304494154	5.298123017084935	4.252869768524396	4.2699951413352615
Ifit1	3.3089223779730843	3.867826492467993	4.551053862702418	3.6632251748667906	2.0579249893244174	3.1306086250063463	4.938269527972939	4.034841035332674	1.7438792780616117	4.21134280562187	3.442583993005635	4.0216303097000266	3.443832009278909	3.190174992037508	4.217781326726268	2.627455000539239	4.282102842863263	3.8662314917971212	1.2692102455633287	3.765877333843933	3.5475994780781606	3.9876394603715446	4.0013662046621095	1.424741095306089	2.2477452234282973	3.184985331117668	3.0736425313677054	1.7350730449843528	5.543626761638393	3.4746885584820077	2.2885592186104597
Tspo	6.318105214449726	5.9500222815281045	6.731015200251986	6.037067978731849	6.242124492107322	6.399562146185419	6.995915408421724	6.4761881141840085	5.798925053133379	6.231145985458941	6.622584488438243	6.183954569073204	6.673140034017989	5.983132214280902	6.440468468303728	6.675383269253807	6.163170759050746	6.874629410151267	6.318495192322498	6.455061311164018	6.68446961580022	6.642171963065004	6.264105799345886	6.2318538477419505	6.690263030554059	6.841324398973527	6.849041586006186	6.141540190981844	6.865302947359283	6.898064259248283	5.621303436282274
Apol7c	0.02794928504916809	0.0	0.0	0.059007575979573276	0.012654707961038472	0.004180680738059809	0.0	0.8440104309980866	0.0	0.13746135006382487	0.0	0.0	0.04340810675864517	0.7646675071650815	0.04309551195691493	0.0	0.11001720435391095	0.0	0.0	0.020754827614282653	0.07865748032502659	0.056092029319146114	0.23501793117541206	0.008771360875674634	0.985395400286868	0.14262474113914073	0.0	1.0227638881816816	0.65940203946245	5.758018808991276	0.0
Nudt17	0.7425385510935418	0.43750534870168567	0.6305574416631987	0.2641324763582215	0.4020913913795209	0.9493395307151599	1.1517623581672993	1.050787873113459	0.09707063791010792	0.664950457938064	1.5965795507620968	0.9819509391482782	0.33659697204920497	0.5243250448527806	1.2798903045907335	0.33061832695010307	0.021633682380851192	0.9358092481562695	0.03605453895564299	0.492690083370385	0.2254480816662432	0.3455101826522313	0.7556429145365195	0.09162048838392574	0.48161935995258853	0.4699786330686039	0.5599822110550012	0.20990588471930438	0.21884314683471387	5.595094404335035	0.1620375175293393
Gm42602	0.01693104097673787	0.06261109195926316	0.04789743749640986	0.03837665865142435	0.062476848794421634	0.009214586018672562	0.0	0.05075127869620431	0.0	0.03944630496819911	0.010602754507240087	0.058402245489000006	0.0	0.09069543629997523	0.13598993911094492	0.0	0.0	0.0	0.0	0.016813317623011935	0.0	0.0	0.07884842710671722	0.0	0.36784010767879116	0.599139377639767	0.0	0.0	0.08028117955469749	3.7281441193152274	0.0
Ceacam15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035073134019528426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.131640587985411	0.0
Gm20465	0.0	0.0	0.0	0.0	0.0	0.0	0.2933042395887779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7778484509248085	0.0
