UID	Chondrocyte	MEC	AF2	AF1	SCMF	Pericyte	ASMC	VSMC	Mesothelial	Neutrophil	maDC	IM	AM	iMON	pMON	cDC1	cDC2	pDC	PNEC	Megakaryocyte/Platelet	Plasma	CD8 T	NK	ILC	CD4 T	Treg	B	Mast/Basophil	CAP1	CAP2	AEC	SVEC	VEC	LEC	Ionocyte	Tuft	Basal	Suprabasal	Ciliated	AT1	RAS	AT2	Deuterosomal	Goblet	Secretory	SMG Basal/Duct	Mucous	Serous
SNCG	0	1.207374769	0.120837073	0.001345932	0.036510826	0.038906146	0.04270986	1.572589939	0.739699801	0	0.104189415	0.004874834	0.003589612	0.003808088	0.004621023	0	0.018126725	0.082996765	0.199492278	0	0.015213403	0.003079453	0.002190763	0	0	0	0	0.001013705	0.312555422	0.245999392	0.733533461	1.34908037	0.983397799	2.154219435	0.026856818	0.022745752	0.590136848	0.220680157	0.010137748	0.007542916	0.038802111	0.004627261	0	0.025010792	0.109994716	0.060404981	0.127308805	0.019220935
GPM6A	0	0.014212107	0.034569003	0.009013867	0	0.003351843	0.219312665	0.005412168	0.394949992	0.17067737	0.078514376	0.02806593	0.042658042	0.034012041	0.065439768	0.078284852	0.035346901	0.041328262	0.118044967	0	0.018413689	0.02470495	0.034733767	0	0.018975026	0.010545102	0.16126515	0.005079681	0.023399102	0.009244553	0.050733729	0.33036342	0.063643515	1.40602083	0.091555446	0.010911583	0.036131301	0.012785854	0.026923223	1.464819199	0.099213046	0.28973267	0.00607315	0.020845448	0.032179968	0.088508583	0.031230468	0.054159887
OAF	0.338795554	0.003811461	0.915099071	0.223911906	0.163355039	0.120436396	0.011001602	0.062718317	0.111355493	0	0.117902178	0.045911119	0.011030302	0.120997292	0.06928518	0.035393186	0.075216525	0.01055667	0.024625145	0	0.064902548	0.006273165	0.042513571	0	0.005671371	0.003371194	0.009686569	0.161723914	0.014469088	0.003836496	0.040199417	0.196238632	0.02040829	1.257910077	0.114499892	0.307955414	0.495207337	0.527625391	0.02105635	0.032233373	0.067049315	0.038688747	0.050998151	0.25199966	0.123979942	0.155632592	0.078393444	0.083059564
KANK3	0	0.0061899	0.039836529	0.437287655	0.033530368	0.423204303	0.012198535	0.447266342	0.034386002	0	0.087459781	0.018503253	0.026549324	0.022580837	0.010719721	0.014416785	0.038242272	0.0084222	0.014551853	0.105849094	0.010363798	0.041175314	0.086249816	0	0.037831935	0.075254496	0.039485802	0.01393529	0.985903704	1.141267546	0.503930333	0.636124596	0.614676667	1.505246215	0	0.001473325	0.014198218	0.076045892	0.03216163	0.105605952	0.045951075	0.0375367	0.009106942	0.005242886	0.020990205	0.003802599	0.011609006	0.047717987
RHOJ	0.400482097	0.245527153	0.169032408	0.458324046	0.082208745	0.027480202	0.094082396	0.081189851	0	0.030257658	0.020764944	0.011346367	0.003927761	0.007425886	0.005103951	0.008213611	0.002052445	0.008624041	0	0.105849094	0.007067783	0.002247665	0.015517834	0	0.0061551	0	0.002594218	0.002846963	0.429245123	0.373508337	0.580040228	0.768252431	0.617577307	1.258083826	0	0	0.003817313	0	0.004597369	0.006156225	0.00724322	0.005367401	0	0.004565982	0.012418432	0.089869437	0.224879184	0.51250687
AKAP12	0	0.20880622	2.049319079	1.261919271	0.798654624	0.80286072	1.124901647	1.68944658	0.393867397	0.030257658	0.231109464	0.0381536	0.159891905	0.076007621	0.030179377	0.054404111	0.085628733	0.011478651	0.15921762	0.347958727	0.055854849	0.070616979	0.02682139	0.362342544	0.019761356	0.055320021	0.040242083	0.194239011	1.344307142	0.329407706	0.361310969	0.783829737	0.471442304	2.608672134	0.112957115	0.008263277	0.225960491	0.175564473	0.041959155	0.033897106	0.039624942	0.01910695	0.036816082	0.147253948	0.121850208	0.034536152	0.002842235	0
LINC01117	0	0	0.005388217	0.001368207	0.022365485	0.003399161	0	0	0.018268882	0	0	0	0.001172022	0.002742139	0.001156622	0	0	0	0	0	0.003118013	0	0.001362754	0	0	0	0.003652954	0	0.002580079	0	0.038310489	0.086717441	0.00214907	0.346795549	0	0	0	0	0.001122933	0	0	0.000864987	0	0	0	0	0	0.004203017
PGM5-AS1	0	0	0.015222728	0.01656148	0.003168175	0.007340283	0.116544859	0.071774989	0.011187143	0	0	0.00147757	0.010273777	0	0.001227435	0	0.000996244	0	0.002657058	0	0.001554697	0	0	0	0	0	0	0	0	0	0.001424241	0.046504654	0.022780051	0.327392	0	0	0	0	0.005355085	0	0	0.002225599	0	0	0.007525387	0	0	0
PCSK6	0	0.021487074	0.263514446	0.058449223	0	0.023083542	0.002810232	0.001047807	0.047971135	0	0.025926196	0.027573363	0.018736239	0.017334776	0.003415278	0.013133927	0.017683776	0	0.007624342	0.209728545	0.009422461	0.011585849	0.024054421	0	0.019636213	0	0.016560362	0.004130754	0.11484117	0.02066744	0.002275556	0.053958377	0.01783474	0.637105346	0.00507044	0.017741407	0.059773395	0.028351526	0.148290784	0.013928261	0.064822902	0.085446902	0.288866835	0.095222003	0.136936853	0.039012837	0.084022364	0.109389981
TSPAN5	0	0.057691099	0.123594905	0.089266962	0.078587528	0.039416658	0.053349085	0.026816343	0.492384439	0	0.087496235	0.043196915	0.029475906	0.017316232	0.013467063	0.054071717	0.054205399	0	0.070807516	0.084245597	0.160032633	0.486756768	0.439600935	0.127661398	0.394438157	1.025382768	0.103816946	0.024061155	0.112892671	0.211034664	0.025593976	0.128907839	0.037882691	1.283921117	0.42635916	0.04799508	0.076731704	0.16257276	0.077669561	0.349844921	0.350550779	0.172206988	0.104206762	0.20209775	0.15299123	0.092704266	0.211109269	0.173927735
