barcode	ann_finest_level	Population
mc678-Duong_lungMAP_unpubl	Unknown	Unknown
mc679-Duong_lungMAP_unpubl	Unknown	Unknown
mc68-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc680-Duong_lungMAP_unpubl	Unknown	Unknown
mc681-Duong_lungMAP_unpubl	Unknown	Unknown
mc682-Duong_lungMAP_unpubl	Unknown	Unknown
mc683-Duong_lungMAP_unpubl	Unknown	Unknown
mc684-Duong_lungMAP_unpubl	Unknown	Unknown
mc685-Duong_lungMAP_unpubl	Unknown	Unknown
mc686-Duong_lungMAP_unpubl	Unknown	Unknown
mc687-Duong_lungMAP_unpubl	Unknown	Unknown
mc688-Duong_lungMAP_unpubl	Unknown	Unknown
mc689-Duong_lungMAP_unpubl	Unknown	Unknown
mc69-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc690-Duong_lungMAP_unpubl	Unknown	Unknown
mc691-Duong_lungMAP_unpubl	Unknown	Unknown
mc692-Duong_lungMAP_unpubl	Unknown	Unknown
mc693-Duong_lungMAP_unpubl	pre-TB secretory	pre-TB secretory
mc694-Duong_lungMAP_unpubl	pre-TB secretory	pre-TB secretory
mc695-Duong_lungMAP_unpubl	pre-TB secretory	pre-TB secretory
mc696-Duong_lungMAP_unpubl	Unknown	Unknown
mc697-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc698-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc699-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc7-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc70-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc700-Duong_lungMAP_unpubl	Unknown	Unknown
mc701-Duong_lungMAP_unpubl	Unknown	Unknown
mc702-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc703-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc704-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc705-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc706-Duong_lungMAP_unpubl	Unknown	Unknown
mc707-Duong_lungMAP_unpubl	EC aerocyte capillary	EC aerocyte capillary
mc708-Duong_lungMAP_unpubl	EC aerocyte capillary	EC aerocyte capillary
mc709-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc71-Duong_lungMAP_unpubl	AT2	AT2
mc710-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc711-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc712-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc713-Duong_lungMAP_unpubl	EC aerocyte capillary	EC aerocyte capillary
mc714-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc715-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc716-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc717-Duong_lungMAP_unpubl	EC aerocyte capillary	EC aerocyte capillary
mc718-Duong_lungMAP_unpubl	Unknown	Unknown
mc719-Duong_lungMAP_unpubl	EC aerocyte capillary	EC aerocyte capillary
mc72-Duong_lungMAP_unpubl	AT2	AT2
mc720-Duong_lungMAP_unpubl	EC aerocyte capillary	EC aerocyte capillary
mc721-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc722-Duong_lungMAP_unpubl	Unknown	Unknown
mc723-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc724-Duong_lungMAP_unpubl	CD4 T cells	CD4 T cells
mc725-Duong_lungMAP_unpubl	Unknown	Unknown
mc726-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc727-Duong_lungMAP_unpubl	Unknown	Unknown
mc728-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc729-Duong_lungMAP_unpubl	Unknown	Unknown
mc73-Duong_lungMAP_unpubl	AT2	AT2
mc730-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc731-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc732-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc733-Duong_lungMAP_unpubl	Unknown	Unknown
mc734-Duong_lungMAP_unpubl	Unknown	Unknown
mc735-Duong_lungMAP_unpubl	Unknown	Unknown
mc736-Duong_lungMAP_unpubl	Unknown	Unknown
mc737-Duong_lungMAP_unpubl	Unknown	Unknown
mc738-Duong_lungMAP_unpubl	AT1	AT1
mc739-Duong_lungMAP_unpubl	AT1	AT1
mc74-Duong_lungMAP_unpubl	AT2	AT2
mc740-Duong_lungMAP_unpubl	AT1	AT1
mc741-Duong_lungMAP_unpubl	AT1	AT1
mc742-Duong_lungMAP_unpubl	AT1	AT1
mc743-Duong_lungMAP_unpubl	AT1	AT1
mc744-Duong_lungMAP_unpubl	AT1	AT1
mc745-Duong_lungMAP_unpubl	AT1	AT1
mc746-Duong_lungMAP_unpubl	NK cells	NK cells
mc747-Duong_lungMAP_unpubl	NK cells	NK cells
mc748-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc749-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc75-Duong_lungMAP_unpubl	AT2	AT2
mc750-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc751-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc752-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc753-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc754-Duong_lungMAP_unpubl	EC venous pulmonary	EC venous pulmonary
mc755-Duong_lungMAP_unpubl	AT2	AT2
mc756-Duong_lungMAP_unpubl	AT2	AT2
mc757-Duong_lungMAP_unpubl	AT2	AT2
mc758-Duong_lungMAP_unpubl	AT2	AT2
mc759-Duong_lungMAP_unpubl	AT2	AT2
mc76-Duong_lungMAP_unpubl	AT2	AT2
mc760-Duong_lungMAP_unpubl	AT2	AT2
mc761-Duong_lungMAP_unpubl	AT2	AT2
mc762-Duong_lungMAP_unpubl	AT2	AT2
mc763-Duong_lungMAP_unpubl	AT2	AT2
mc764-Duong_lungMAP_unpubl	AT2	AT2
mc765-Duong_lungMAP_unpubl	AT2	AT2
mc766-Duong_lungMAP_unpubl	AT2	AT2
mc767-Duong_lungMAP_unpubl	AT2	AT2
mc768-Duong_lungMAP_unpubl	AT2	AT2
mc769-Duong_lungMAP_unpubl	AT2	AT2
mc77-Duong_lungMAP_unpubl	AT2	AT2
mc770-Duong_lungMAP_unpubl	AT2	AT2
mc771-Duong_lungMAP_unpubl	AT2	AT2
mc772-Duong_lungMAP_unpubl	AT2	AT2
mc773-Duong_lungMAP_unpubl	AT2	AT2
mc774-Duong_lungMAP_unpubl	AT2	AT2
mc775-Duong_lungMAP_unpubl	AT2	AT2
mc776-Duong_lungMAP_unpubl	AT2	AT2
mc777-Duong_lungMAP_unpubl	AT2	AT2
mc778-Duong_lungMAP_unpubl	AT2	AT2
mc779-Duong_lungMAP_unpubl	AT2	AT2
mc78-Duong_lungMAP_unpubl	AT2	AT2
mc780-Duong_lungMAP_unpubl	AT2	AT2
mc781-Duong_lungMAP_unpubl	AT2	AT2
mc782-Duong_lungMAP_unpubl	Unknown	Unknown
mc783-Duong_lungMAP_unpubl	Unknown	Unknown
mc784-Duong_lungMAP_unpubl	Unknown	Unknown
mc785-Duong_lungMAP_unpubl	Unknown	Unknown
mc786-Duong_lungMAP_unpubl	Unknown	Unknown
mc787-Duong_lungMAP_unpubl	Unknown	Unknown
mc788-Duong_lungMAP_unpubl	Unknown	Unknown
mc789-Duong_lungMAP_unpubl	Unknown	Unknown
mc79-Duong_lungMAP_unpubl	AT2	AT2
mc790-Duong_lungMAP_unpubl	Unknown	Unknown
mc791-Duong_lungMAP_unpubl	Alveolar macrophages	Alveolar macrophages
mc792-Duong_lungMAP_unpubl	Unknown	Unknown
mc793-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc794-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc795-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc796-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc797-Duong_lungMAP_unpubl	Unknown	Unknown
mc798-Duong_lungMAP_unpubl	NK cells	NK cells
mc799-Duong_lungMAP_unpubl	NK cells	NK cells
mc8-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc80-Duong_lungMAP_unpubl	AT2	AT2
mc800-Duong_lungMAP_unpubl	Plasma cells	Plasma cells
mc801-Duong_lungMAP_unpubl	AT1	AT1
mc802-Duong_lungMAP_unpubl	AT1	AT1
mc803-Duong_lungMAP_unpubl	AT1	AT1
mc804-Duong_lungMAP_unpubl	AT1	AT1
mc805-Duong_lungMAP_unpubl	AT1	AT1
mc806-Duong_lungMAP_unpubl	AT1	AT1
mc807-Duong_lungMAP_unpubl	AT1	AT1
mc808-Duong_lungMAP_unpubl	AT1	AT1
mc809-Duong_lungMAP_unpubl	AT1	AT1
mc81-Duong_lungMAP_unpubl	AT2	AT2
mc810-Duong_lungMAP_unpubl	AT1	AT1
mc811-Duong_lungMAP_unpubl	AT1	AT1
mc812-Duong_lungMAP_unpubl	AT1	AT1
mc813-Duong_lungMAP_unpubl	AT1	AT1
mc814-Duong_lungMAP_unpubl	Unknown	Unknown
mc815-Duong_lungMAP_unpubl	Unknown	Unknown
mc816-Duong_lungMAP_unpubl	Unknown	Unknown
mc817-Duong_lungMAP_unpubl	pre-TB secretory	pre-TB secretory
mc818-Duong_lungMAP_unpubl	Unknown	Unknown
mc819-Duong_lungMAP_unpubl	AT1	AT1
mc82-Duong_lungMAP_unpubl	AT2	AT2
mc820-Duong_lungMAP_unpubl	AT1	AT1
mc821-Duong_lungMAP_unpubl	AT1	AT1
mc822-Duong_lungMAP_unpubl	AT1	AT1
mc823-Duong_lungMAP_unpubl	AT1	AT1
mc824-Duong_lungMAP_unpubl	AT1	AT1
mc825-Duong_lungMAP_unpubl	AT1	AT1
mc826-Duong_lungMAP_unpubl	AT1	AT1
mc827-Duong_lungMAP_unpubl	AT1	AT1
mc828-Duong_lungMAP_unpubl	AT1	AT1
mc829-Duong_lungMAP_unpubl	AT1	AT1
mc83-Duong_lungMAP_unpubl	AT2	AT2
mc830-Duong_lungMAP_unpubl	AT1	AT1
mc831-Duong_lungMAP_unpubl	AT1	AT1
mc832-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc833-Duong_lungMAP_unpubl	Unknown	Unknown
mc834-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc835-Duong_lungMAP_unpubl	Unknown	Unknown
mc836-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc837-Duong_lungMAP_unpubl	Unknown	Unknown
mc838-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc839-Duong_lungMAP_unpubl	Unknown	Unknown
mc84-Duong_lungMAP_unpubl	AT2	AT2
mc840-Duong_lungMAP_unpubl	Unknown	Unknown
mc841-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc842-Duong_lungMAP_unpubl	Unknown	Unknown
mc843-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc844-Duong_lungMAP_unpubl	Unknown	Unknown
mc845-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc846-Duong_lungMAP_unpubl	Unknown	Unknown
mc847-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc848-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc849-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc85-Duong_lungMAP_unpubl	AT2	AT2
mc850-Duong_lungMAP_unpubl	Mast cells	Mast cells
mc851-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc852-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc853-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc854-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc855-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc856-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc857-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc858-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc859-Duong_lungMAP_unpubl	Unknown	Unknown
mc86-Duong_lungMAP_unpubl	AT2	AT2
mc860-Duong_lungMAP_unpubl	Unknown	Unknown
mc861-Duong_lungMAP_unpubl	Unknown	Unknown
mc862-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc863-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc864-Duong_lungMAP_unpubl	Unknown	Unknown
mc865-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc866-Duong_lungMAP_unpubl	Adventitial fibroblasts	Adventitial fibroblasts
mc867-Duong_lungMAP_unpubl	Unknown	Unknown
mc868-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc869-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc87-Duong_lungMAP_unpubl	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc870-Duong_lungMAP_unpubl	EC venous pulmonary	EC venous pulmonary
mc871-Duong_lungMAP_unpubl	EC venous pulmonary	EC venous pulmonary
mc872-Duong_lungMAP_unpubl	Unknown	Unknown
mc873-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc874-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc875-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc876-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc877-Duong_lungMAP_unpubl	Unknown	Unknown
mc878-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc879-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc88-Duong_lungMAP_unpubl	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc880-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc881-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc882-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc883-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc884-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc885-Duong_lungMAP_unpubl	Unknown	Unknown
mc886-Duong_lungMAP_unpubl	Unknown	Unknown
mc887-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc888-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc889-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc89-Duong_lungMAP_unpubl	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc890-Duong_lungMAP_unpubl	AT1	AT1
mc891-Duong_lungMAP_unpubl	AT1	AT1
mc892-Duong_lungMAP_unpubl	AT1	AT1
mc893-Duong_lungMAP_unpubl	AT1	AT1
mc894-Duong_lungMAP_unpubl	AT1	AT1
mc895-Duong_lungMAP_unpubl	AT1	AT1
mc896-Duong_lungMAP_unpubl	AT1	AT1
mc897-Duong_lungMAP_unpubl	AT1	AT1
mc898-Duong_lungMAP_unpubl	AT1	AT1
mc899-Duong_lungMAP_unpubl	AT1	AT1
mc9-Duong_lungMAP_unpubl	AT2	AT2
mc90-Duong_lungMAP_unpubl	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc900-Duong_lungMAP_unpubl	AT1	AT1
mc901-Duong_lungMAP_unpubl	AT1	AT1
mc902-Duong_lungMAP_unpubl	AT1	AT1
mc903-Duong_lungMAP_unpubl	AT1	AT1
mc904-Duong_lungMAP_unpubl	AT1	AT1
mc905-Duong_lungMAP_unpubl	AT1	AT1
mc906-Duong_lungMAP_unpubl	AT1	AT1
mc907-Duong_lungMAP_unpubl	AT1	AT1
mc908-Duong_lungMAP_unpubl	Smooth muscle	Smooth muscle
mc909-Duong_lungMAP_unpubl	Smooth muscle	Smooth muscle
mc91-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc910-Duong_lungMAP_unpubl	Unknown	Unknown
mc911-Duong_lungMAP_unpubl	Unknown	Unknown
mc912-Duong_lungMAP_unpubl	Unknown	Unknown
mc913-Duong_lungMAP_unpubl	Unknown	Unknown
mc914-Duong_lungMAP_unpubl	Unknown	Unknown
mc915-Duong_lungMAP_unpubl	Unknown	Unknown
mc916-Duong_lungMAP_unpubl	Unknown	Unknown
mc917-Duong_lungMAP_unpubl	Unknown	Unknown
mc918-Duong_lungMAP_unpubl	Unknown	Unknown
mc919-Duong_lungMAP_unpubl	Unknown	Unknown
mc92-Duong_lungMAP_unpubl	Unknown	Unknown
mc920-Duong_lungMAP_unpubl	EC aerocyte capillary	EC aerocyte capillary
mc921-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc922-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc923-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc924-Duong_lungMAP_unpubl	Mast cells	Mast cells
mc925-Duong_lungMAP_unpubl	EC arterial	EC arterial
mc926-Duong_lungMAP_unpubl	EC arterial	EC arterial
mc927-Duong_lungMAP_unpubl	Lymphatic EC mature	Lymphatic EC mature
mc928-Duong_lungMAP_unpubl	pre-TB secretory	pre-TB secretory
mc929-Duong_lungMAP_unpubl	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc93-Duong_lungMAP_unpubl	Unknown	Unknown
mc930-Duong_lungMAP_unpubl	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc931-Duong_lungMAP_unpubl	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc932-Duong_lungMAP_unpubl	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc933-Duong_lungMAP_unpubl	Multiciliated (non-nasal)	Multiciliated (non-nasal)
mc934-Duong_lungMAP_unpubl	Lymphatic EC mature	Lymphatic EC mature
mc935-Duong_lungMAP_unpubl	B cells	B cells
mc936-Duong_lungMAP_unpubl	EC arterial	EC arterial
mc937-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc938-Duong_lungMAP_unpubl	EC aerocyte capillary	EC aerocyte capillary
mc939-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc94-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc940-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc941-Duong_lungMAP_unpubl	EC aerocyte capillary	EC aerocyte capillary
mc942-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc943-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc944-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc945-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc946-Duong_lungMAP_unpubl	EC aerocyte capillary	EC aerocyte capillary
mc947-Duong_lungMAP_unpubl	EC aerocyte capillary	EC aerocyte capillary
mc948-Duong_lungMAP_unpubl	EC general capillary	EC general capillary
mc949-Duong_lungMAP_unpubl	EC aerocyte capillary	EC aerocyte capillary
mc95-Duong_lungMAP_unpubl	Unknown	Unknown
mc950-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc951-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc952-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc953-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc954-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc955-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc956-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc957-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc958-Duong_lungMAP_unpubl	Lymphatic EC differentiating	Lymphatic EC differentiating
mc959-Duong_lungMAP_unpubl	Monocyte-derived Mph	Monocyte-derived Mph
mc96-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc960-Duong_lungMAP_unpubl	Unknown	Unknown
mc961-Duong_lungMAP_unpubl	Monocyte-derived Mph	Monocyte-derived Mph
mc962-Duong_lungMAP_unpubl	Unknown	Unknown
mc963-Duong_lungMAP_unpubl	Monocyte-derived Mph	Monocyte-derived Mph
mc964-Duong_lungMAP_unpubl	Unknown	Unknown
mc965-Duong_lungMAP_unpubl	Unknown	Unknown
mc966-Duong_lungMAP_unpubl	Basal resting	Basal resting
mc967-Duong_lungMAP_unpubl	Basal resting	Basal resting
mc968-Duong_lungMAP_unpubl	Unknown	Unknown
mc969-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc97-Duong_lungMAP_unpubl	Pericytes	Pericytes
mc970-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc971-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc972-Duong_lungMAP_unpubl	DC2	DC2
mc973-Duong_lungMAP_unpubl	EC arterial	EC arterial
mc974-Duong_lungMAP_unpubl	Unknown	Unknown
mc975-Duong_lungMAP_unpubl	CD8 T cells	CD8 T cells
mc976-Duong_lungMAP_unpubl	Unknown	Unknown
mc977-Duong_lungMAP_unpubl	NK cells	NK cells
mc978-Duong_lungMAP_unpubl	NK cells	NK cells
mc979-Duong_lungMAP_unpubl	EC arterial	EC arterial
mc98-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc980-Duong_lungMAP_unpubl	EC arterial	EC arterial
mc981-Duong_lungMAP_unpubl	EC arterial	EC arterial
mc982-Duong_lungMAP_unpubl	EC arterial	EC arterial
mc983-Duong_lungMAP_unpubl	EC arterial	EC arterial
mc984-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc985-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc986-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc987-Duong_lungMAP_unpubl	Classical monocytes	Classical monocytes
mc988-Duong_lungMAP_unpubl	NK cells	NK cells
mc989-Duong_lungMAP_unpubl	NK cells	NK cells
mc99-Duong_lungMAP_unpubl	Alveolar fibroblasts	Alveolar fibroblasts
mc990-Duong_lungMAP_unpubl	Unknown	Unknown
mc991-Duong_lungMAP_unpubl	Unknown	Unknown
mc992-Duong_lungMAP_unpubl	Unknown	Unknown
mc993-Duong_lungMAP_unpubl	Unknown	Unknown
mc994-Duong_lungMAP_unpubl	Unknown	Unknown
mc995-Duong_lungMAP_unpubl	Unknown	Unknown
mc996-Duong_lungMAP_unpubl	Unknown	Unknown
mc997-Duong_lungMAP_unpubl	Unknown	Unknown
mc998-Duong_lungMAP_unpubl	Unknown	Unknown
mc999-Duong_lungMAP_unpubl	Unknown	Unknown
mc1-Seibold_2020_10Xv3	Goblet (nasal)	Goblet (nasal)
mc10-Seibold_2020_10Xv3	Hillock-like	Hillock-like
mc100-Seibold_2020_10Xv3	Basal resting	Basal resting
mc101-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc102-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc103-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc104-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc105-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc106-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc107-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc108-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc109-Seibold_2020_10Xv3	Basal resting	Basal resting
mc11-Seibold_2020_10Xv3	Hillock-like	Hillock-like
mc110-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc111-Seibold_2020_10Xv3	Basal resting	Basal resting
mc112-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc113-Seibold_2020_10Xv3	Basal resting	Basal resting
mc114-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc115-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc116-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc117-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc118-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc119-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc12-Seibold_2020_10Xv3	Hillock-like	Hillock-like
mc120-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc121-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc122-Seibold_2020_10Xv3	Basal resting	Basal resting
mc123-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc124-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc125-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc126-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc127-Seibold_2020_10Xv3	Basal resting	Basal resting
mc128-Seibold_2020_10Xv3	Hillock-like	Hillock-like
mc129-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc13-Seibold_2020_10Xv3	Hillock-like	Hillock-like
mc130-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc131-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc132-Seibold_2020_10Xv3	Basal resting	Basal resting
mc133-Seibold_2020_10Xv3	Basal resting	Basal resting
mc134-Seibold_2020_10Xv3	Basal resting	Basal resting
mc135-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc136-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc137-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc138-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc139-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc14-Seibold_2020_10Xv3	Hillock-like	Hillock-like
mc140-Seibold_2020_10Xv3	Basal resting	Basal resting
mc141-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc142-Seibold_2020_10Xv3	Basal resting	Basal resting
mc143-Seibold_2020_10Xv3	Basal resting	Basal resting
mc144-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc145-Seibold_2020_10Xv3	Basal resting	Basal resting
mc146-Seibold_2020_10Xv3	Basal resting	Basal resting
mc147-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc148-Seibold_2020_10Xv3	Basal resting	Basal resting
mc149-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc15-Seibold_2020_10Xv3	Hillock-like	Hillock-like
mc150-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc151-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc152-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc153-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc154-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc155-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc156-Seibold_2020_10Xv3	Basal resting	Basal resting
mc157-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc158-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc159-Seibold_2020_10Xv3	Basal resting	Basal resting
mc16-Seibold_2020_10Xv3	Hillock-like	Hillock-like
mc160-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc161-Seibold_2020_10Xv3	Basal resting	Basal resting
mc162-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc163-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc164-Seibold_2020_10Xv3	Basal resting	Basal resting
mc165-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc166-Seibold_2020_10Xv3	Basal resting	Basal resting
mc167-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc168-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc169-Seibold_2020_10Xv3	Suprabasal	Suprabasal
mc17-Seibold_2020_10Xv3	Suprabasal	Suprabasal
