barcode	UMAP1	UMAP2
mc108-Meyer_2021_3prime	1.871037483215332	-1.6172391176223755
mc109-Meyer_2021_3prime	1.8679474592208862	-4.7662482261657715
mc11-Meyer_2021_3prime	-7.634084701538086	6.93157434463501
mc110-Meyer_2021_3prime	2.3830811977386475	-5.643357276916504
mc111-Meyer_2021_3prime	0.6709599494934082	-3.0264432430267334
mc112-Meyer_2021_3prime	1.9047001600265503	-2.5042357444763184
mc113-Meyer_2021_3prime	1.3145391941070557	-2.3862855434417725
mc114-Meyer_2021_3prime	1.6709142923355103	-5.358242034912109
mc115-Meyer_2021_3prime	1.621511459350586	-3.262880325317383
mc116-Meyer_2021_3prime	0.8452244400978088	-4.1220784187316895
mc117-Meyer_2021_3prime	3.538688898086548	-3.8336362838745117
mc118-Meyer_2021_3prime	0.9485877156257629	-4.218270778656006
mc119-Meyer_2021_3prime	1.3399884700775146	-4.183276176452637
mc12-Meyer_2021_3prime	-10.32825756072998	10.096846580505371
mc120-Meyer_2021_3prime	1.528688907623291	-3.6499691009521484
mc121-Meyer_2021_3prime	0.8677635192871094	-4.781056880950928
mc122-Meyer_2021_3prime	1.9200917482376099	-4.534639358520508
mc123-Meyer_2021_3prime	1.7481296062469482	-2.831721067428589
mc124-Meyer_2021_3prime	1.762344479560852	-0.9544042348861694
mc125-Meyer_2021_3prime	1.2112114429473877	-4.766404151916504
mc126-Meyer_2021_3prime	3.0318925380706787	-2.140824794769287
mc127-Meyer_2021_3prime	1.5279396772384644	-5.08404541015625
mc128-Meyer_2021_3prime	1.2892022132873535	-4.460540294647217
mc129-Meyer_2021_3prime	1.8086334466934204	-0.8603215217590332
mc13-Meyer_2021_3prime	-7.883936882019043	7.289621353149414
mc130-Meyer_2021_3prime	1.7270814180374146	-5.490752696990967
mc131-Meyer_2021_3prime	2.0671112537384033	-5.168764591217041
mc132-Meyer_2021_3prime	1.2798676490783691	-2.721569538116455
mc133-Meyer_2021_3prime	1.8156009912490845	-5.248112678527832
mc134-Meyer_2021_3prime	3.089452028274536	-5.600439071655273
mc135-Meyer_2021_3prime	1.2845377922058105	-3.7785959243774414
mc136-Meyer_2021_3prime	3.218780040740967	-5.823663711547852
mc137-Meyer_2021_3prime	1.1905404329299927	-4.520401954650879
mc138-Meyer_2021_3prime	1.7546048164367676	-2.171755075454712
mc139-Meyer_2021_3prime	3.140209913253784	-3.425384283065796
mc14-Meyer_2021_3prime	-10.675788879394531	10.869159698486328
mc140-Meyer_2021_3prime	2.014561414718628	-2.988976001739502
mc141-Meyer_2021_3prime	2.8923792839050293	-5.347384452819824
mc142-Meyer_2021_3prime	1.699912667274475	-2.839683771133423
mc143-Meyer_2021_3prime	2.0586705207824707	-1.7381503582000732
mc144-Meyer_2021_3prime	2.010101795196533	-1.86056387424469
mc145-Meyer_2021_3prime	1.223507046699524	-2.9359359741210938
mc146-Meyer_2021_3prime	2.5091185569763184	-2.380805730819702
mc147-Meyer_2021_3prime	2.359846591949463	-3.5148122310638428
mc148-Meyer_2021_3prime	0.5219599008560181	-3.471073865890503
mc149-Meyer_2021_3prime	2.0209314823150635	-5.579442977905273
mc15-Meyer_2021_3prime	-10.670660972595215	10.785348892211914
mc150-Meyer_2021_3prime	2.599722385406494	-4.725315093994141
mc151-Meyer_2021_3prime	-8.185052871704102	9.907736778259277
mc152-Meyer_2021_3prime	-7.739752292633057	7.243046283721924
mc153-Meyer_2021_3prime	-7.933578968048096	9.921443939208984
mc154-Meyer_2021_3prime	-8.043038368225098	9.843875885009766
mc155-Meyer_2021_3prime	-9.007524490356445	10.070781707763672
mc156-Meyer_2021_3prime	-11.582099914550781	9.479801177978516
mc157-Meyer_2021_3prime	-10.395017623901367	10.065858840942383
mc158-Meyer_2021_3prime	-10.80539321899414	11.095038414001465
mc159-Meyer_2021_3prime	-9.661625862121582	7.915860652923584
mc16-Meyer_2021_3prime	-7.827883720397949	6.914884567260742
mc160-Meyer_2021_3prime	-8.235634803771973	9.750940322875977
mc161-Meyer_2021_3prime	-10.865533828735352	11.047718048095703
mc162-Meyer_2021_3prime	-11.907670021057129	9.373507499694824
mc163-Meyer_2021_3prime	-11.322344779968262	10.976546287536621
mc164-Meyer_2021_3prime	-10.828851699829102	10.440937042236328
mc165-Meyer_2021_3prime	-8.080770492553711	10.078681945800781
mc166-Meyer_2021_3prime	-7.98221492767334	9.945878028869629
mc167-Meyer_2021_3prime	-11.028888702392578	10.646761894226074
mc168-Meyer_2021_3prime	-10.455583572387695	10.936091423034668
mc169-Meyer_2021_3prime	-11.872763633728027	10.494820594787598
mc17-Meyer_2021_3prime	-7.844647407531738	7.224269866943359
mc170-Meyer_2021_3prime	-11.016511917114258	9.595351219177246
mc171-Meyer_2021_3prime	-11.042929649353027	10.303382873535156
mc172-Meyer_2021_3prime	-11.214115142822266	10.846339225769043
mc173-Meyer_2021_3prime	-8.91780948638916	10.287919998168945
mc174-Meyer_2021_3prime	-4.7927446365356445	-7.8829474449157715
mc175-Meyer_2021_3prime	-4.44451379776001	-8.298969268798828
mc176-Meyer_2021_3prime	-4.918113708496094	-7.721963405609131
mc177-Meyer_2021_3prime	8.822418212890625	14.926155090332031
mc178-Meyer_2021_3prime	-8.289669036865234	-1.0799009799957275
mc179-Meyer_2021_3prime	-9.149823188781738	0.7589931488037109
mc18-Meyer_2021_3prime	-9.13842487335205	9.293278694152832
mc180-Meyer_2021_3prime	-8.382495880126953	0.47665470838546753
mc181-Meyer_2021_3prime	-7.826421737670898	-1.1231857538223267
mc182-Meyer_2021_3prime	-9.661089897155762	1.0418528318405151
mc183-Meyer_2021_3prime	-7.995398044586182	-1.141615390777588
mc184-Meyer_2021_3prime	-8.453083038330078	-1.1881599426269531
mc185-Meyer_2021_3prime	-8.92480182647705	-0.8718138337135315
mc186-Meyer_2021_3prime	-8.003098487854004	-0.53203946352005
mc187-Meyer_2021_3prime	-8.36618423461914	0.8437505960464478
mc188-Meyer_2021_3prime	-8.412050247192383	-1.3224292993545532
mc189-Meyer_2021_3prime	-8.497349739074707	-1.2598599195480347
mc19-Meyer_2021_3prime	-9.449965476989746	10.087099075317383
mc190-Meyer_2021_3prime	-8.314749717712402	-0.19735637307167053
mc191-Meyer_2021_3prime	-8.370150566101074	-0.8888013362884521
mc192-Meyer_2021_3prime	-8.072275161743164	-0.37233766913414
mc193-Meyer_2021_3prime	-8.515520095825195	0.7562291622161865
mc194-Meyer_2021_3prime	-9.08715534210205	5.380542278289795
mc195-Meyer_2021_3prime	-8.676796913146973	5.523104190826416
mc196-Meyer_2021_3prime	1.3549814224243164	-1.4999144077301025
mc197-Meyer_2021_3prime	-8.363426208496094	2.007438898086548
mc198-Meyer_2021_3prime	0.4868318736553192	7.014171600341797
mc199-Meyer_2021_3prime	0.7989412546157837	8.044685363769531
mc2-Meyer_2021_3prime	-9.400293350219727	10.068572044372559
mc20-Meyer_2021_3prime	-9.320987701416016	10.303972244262695
mc200-Meyer_2021_3prime	1.3426690101623535	8.381458282470703
