UID	AF1	AF2	PMP	SCMF	VSMC	ASMC	Pericyte	VEC	LEC	AEC	CAP1	EPC	CAP2	Chondrocyte	Mesothelial	AT1	AT1/AT2	AT2	Sox9_Epi	Secretory	Basal	Ciliated	Deuterosomal	PNEC	CD4_T	CD8_T	Treg	ILC	NK	B	cDC1	cDC2	maDC	Neutrophil	Basophil	Mast	iMON	AM	IM	Megakaryocyte/Platelet
Cthrc1	0	0.561898457	0.015910858	0.037775494	0.155750401	0.016032268	0.007966056	0.896565807	0.2318608	0.51791946	0.057115458	0.059976189	0.086529822	0.372873741	0.019137381	0.025114871	0.118012836	0.225568726	0.555728864	0.018034847	0.036151424	0.011271421	0.018675578	0	0.008322958	0.009190814	0	0	0	0.004774475	0.033873809	0.00512253	0	0.02746327	0	0	0.005252797	0.005311236	0.00739648	0
Fabp4	0.004291766	0.095045912	0	0	0.94706677	0.112895914	0.027991445	1.444617645	0.669602771	0.207832623	0.116155343	0.022334186	0.004864987	0	0.009340995	0.01697319	0.096737438	0.037082691	0	0.037110164	0	0	0.002277166	0	0.014926644	0.008487588	0	0.013698769	0.034018431	0.026070745	0.040464752	0.015135506	0.102097322	0.046410484	0	0	0.084788152	0.636124094	0.020621652	0
Ripply3	0.024123773	0.009087779	0.01084472	0.025842427	0.039405864	0.072395808	0.031280524	2.024165919	0.324117715	0.243295338	0.846386505	1.216486722	1.728418585	0	0.056714771	0.061758151	0.043793759	0.037727354	0.011214725	0.051164488	0.027632188	0.048757105	0	0	0.032605947	0.005258886	0.021699101	0.006248247	0	0.028046935	0.061725804	0.028195723	0	0.040686049	0.009855151	0	0.038454308	0.023820553	0.02436293	0.038968173
Adam15	0.033178137	0.093820256	0	0.21727925	0.073656845	0.087296249	0.070668799	1.098758912	0.072847183	0.488844657	0.459719995	0.435682734	0.201453854	0	0.130252517	0.101817456	0.104467429	0.048192868	0.043213233	0.039243818	0.012234292	0.014301505	0.057685549	0	0.010020522	0.009944699	0.211127723	0.013979747	0.01358608	0.04197537	0.033700021	0.12775972	0.027906742	0.016176571	0.053271407	0	0.215497801	0.175609842	0.320616028	0.015517204
Gabra1	0.000332552	0.002080223	0	0	0.01096957	0	0	0.180693356	0	0	0	0	0	0	0.011865745	0	0.002455888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4833423E24Rik	0	0.002822091	0.005112967	0.003827843	0	0	0	0.427649827	0	0	0.004940563	0	0	0	0	0	0	0.000413759	0	0	0.709358128	0	0	0	0	0	0	0	0	0	0	0	0	0.02746327	0	0	0	0	0	0
Fbln2	0.013829391	0.713933688	0.005953618	0.016241013	0.428417433	0.021516602	0.044742753	2.707581079	0.824317761	1.664697208	0.247535389	0.322193452	0.048887188	0.175198334	1.411021866	0.038471678	0	0.022621755	0.009894624	0.025200603	0	0.020634279	0.007013396	0.204296391	0.008189238	0.012069902	0.014307248	0	0.00952341	0.02959904	0.009127645	0.009902751	0.219777753	0.012272377	0.006304191	0.024407419	0.022860393	0.003904608	0	0.015517204
Arsj	0.03059363	0.046761534	0	0.016504575	0.012903484	0.00459157	0.003749547	0.347050951	0.011382093	0.048512264	0.006931625	0.012454169	0.039567321	0	0.03661127	0	0	0	0	0	0	0	0.005530138	0.028315469	0.007063215	0.008914012	0	0	0	0	0	0	0	0	0	0	0.001520493	0	0	0
Htr2b	0.007527077	0.003116116	0	0.003003379	0	0	0	0.102641749	0.004500628	0	0.004331642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008908717	0	0	0	0	0	0	0.001359867	0	0
Procr	0	0.019882465	0	0.004366084	0.021855785	0.019635173	0.00595156	1.423863542	0.425268417	0.335536956	0.039490438	0.072890728	0.009638765	0	0.152781063	0	0.029943776	0.00927767	0	0.016814328	0.04051092	0.08474209	0.01112725	0	0.131181106	0.005400442	0.010176044	0.011105162	0	0.006317119	0.149002878	0.009314916	0.066345771	0.003348324	0.038994868	0	0.019878297	0.01159191	0.012621617	0.027431935
Amigo2	0.05446646	0.04290379	0.123801304	0.036233641	0.078390288	0.012115363	0.008152028	0.826176237	0.012771831	0.082056248	0.054290149	0.077309347	0.029583363	0	0.155246508	0.049083856	0	0.014278951	0	0.010259908	0	0	0.039653627	0	0.041620521	0.019402767	0	0.003991203	0.00808792	0.011268872	0.017580128	0.015089867	0	0.043040047	0.065738012	0	0	0	0	0
Tmem252	0.037832631	0.00286369	0	0	0.004317699	0	0.002409677	0.708388279	0.068534993	0.08139917	0.242238102	0.233558451	0.035658678	0	0.034495916	0.009618989	0.001911514	0.004448544	0.017090959	0.00878241	0	0	0.004820304	0	0	0	0.010176044	0	0.039248092	0.005000957	0.006570204	0.008191067	0	0.025549012	0	0	0.010321335	0.003792667	0.006334749	0
