UID	aCap	Adventitial FB	Alveolar FB	Alveolar macrophage	Arteriole	AT1	AT2	B cells	Basal	CD4	CD8/NKT	cDC1	cDC2	Ciliated	Differentiating ciliated	gCap	Inflamed	Inflammatory monocyte	Interstitial macrophage	KRT5-/KRT17+	Lymphatic	Mast	Mesothelial	moDC	Monocyte	Monocyte-derived macrophage	MyoFB	MyoFB - Activated	NK	pDC	Pericyte	Plasma	PLIN2+ FB	PNEC	Proliferating - Epi	Proliferating - Imm	Secretory - SCGB1A1+/MUC5B+	Secretory - SCGB1A1+/SCGB3A2+	Secretory - SCGB3A2+	SMC	Systemic venous	Transitional AT2	Venule
LINC02422	0	0	0	0.000945268	0	0	0	0.104932409	0	0.000618167	0.007316597	0	0.001529617	0	0	0	0	0.004477421	7.49E-05	0	0	0	0	0.001316961	0.002988645	0.001075028	0	0	0.000585982	0	0	0.000657484	0	0	0	0.00368472	0	0	0	0	8.22E-05	0	0
LINC00494	0	0	0	0	0	0	0	0.095796493	0	0	0	0	0	0.001517789	0.001559142	0	0	0	0	0	0	0.000150746	0	0	0.000279509	0	0	0	0	0.043849291	0	0.031800351	0	0	0	0	0.000151574	0	0	0	8.22E-05	0	0
COCH	9.70E-05	0.026118887	0.005641028	0.001951223	0	0	7.36E-05	0.247892749	0.001064385	0.030247881	0.00014363	0.047868703	0.000113445	0.001596765	0.001596726	0	0	0.000974483	0.000174277	0.006086965	0.005113767	0.003580952	0	0.008800495	0.002746989	0.001613113	0.0097048	0.002999465	0	0	0.105735301	0.149906214	0.003259636	0.048326638	0.068024253	0.013341013	0.00155733	0.00032639	0.001467594	0.015440482	0.000428948	0	0
CLECL1	0.008230593	6.36E-05	0.002378531	0.041731589	0.002854879	0	0.00033195	0.707814451	0	0.004797041	0.025709804	0.329605113	0.431938296	0.001696228	0.001233439	0	0	0.068998527	0.095563222	0.000735742	0	0.152597016	0	0.180659157	0.032204037	0.03648354	0	0	0.019377697	0.305560519	0.004476121	0.152310643	0	0	0	0.218911807	0.001515016	0.00047849	0.000197934	0.001839439	0.00135874	0.003533122	0.000357638
LY9	0	0.000796455	0.001448748	0	0.000474098	0.000495193	0.00014296	0.703089129	0.000939911	0.201182125	0.396084059	0.001163264	0.029326747	0.000883953	0.005239776	0	0	0.014750093	0.259127713	0	0	0.00597343	0.000447547	0.044874289	0.002556036	0.027252542	0	0	0.125146345	0.391651759	0	0.614122181	0	0	0	0.054964647	0.000724124	0.003185217	0.001255321	0.020301961	0.002578742	0.003316165	0.000480799
LY86-AS1	0.006282267	0	0	0.001091815	0.001445394	0	0	0.080151694	0	0	0.000665385	0	0.000392829	0	0	0	0	0.001385594	0.000858244	0	0	0.000272354	0	0.001540456	0.007077028	0.0006773	0	0	0	0	0	0.027593318	0	0	0	0.00150176	0	0	0	0	0	0	0.000439096
FCRL3	0	0	0.00053528	0.000173036	0	0	0.000892624	0.407461899	0	0.112188275	0.16271507	0	0.000187267	7.24E-05	0	0	0	0.001001744	0.000136794	0	0	0.005383791	0	0.000335943	0.000176935	0.000343002	0	0	0.438391058	0.001902321	0	0.010173073	0	0	0	0.032391681	0.000168562	0	0.000130376	0	8.22E-05	0	0.000511377
RALGPS2	0.012217048	0.120351467	0.058797949	0.035690227	0.011419841	0.160673209	0.068263207	1.138678665	0.179692979	0.014765154	0.02808279	0.052095992	0.066812603	0.512002137	0.396549401	0.006858217	0	0.068415354	0.034949744	0.291027152	0.052302525	0.074860736	0.336431348	0.082292981	0.042600906	0.044877478	0.025149847	0.091243977	0.056090704	0.21030422	0.248161252	1.002463424	0.258108582	0.210389416	0.167551967	0.058922109	0.125491627	0.065207071	0.107855885	0.024910627	0.038773488	0.16923122	0.038594281
AL121820.1	0	0	0	0	0	0	0	0.046259724	0	0.005371833	0.000293663	0	0.000380301	0.003461614	0	0	0	0.001864846	0.003398972	0.002655185	0	0	0	0.001531028	0.001011942	0.000367168	0	0	0	0	0	0	0	0	0	0.003630775	0	0	0	0	0	0	0
ARHGAP24	0.015903775	0.166810265	0.359359475	0.101029531	0.019565758	0.405983206	0.235889338	0.984328937	0.24137872	0.005028291	0.003256059	0.023535872	0.139543378	0.325376641	0.260900199	0.039135546	0	0.199809389	0.391312314	0.234877942	0.003044917	0.025622722	0.104648299	0.195801312	0.24713689	0.171479123	0.421177467	0.118230574	0.001716668	0.29933913	0.298985259	0.065227824	0.084351057	0.040135673	0.224122704	0.118381417	0.131263191	0.158700886	0.1626902	0.217793081	0.023488154	0.189376893	0.009575531
AL161781.2	0	0	0	0	0	0	0	0.084323705	0	0	0	0.007815734	0	0	0	0	0	4.00E-05	0	0	0	0	0	0	0	6.05E-06	0	0	0	0	0	0.002248239	0	0	0	0	0	0	0	0	0	0	0
FAM177B	0.000261113	8.76E-05	0	0	0	0	0.000666923	0.178484348	0.001077679	0.000600228	0	0	0.0367992	0.000414979	0	0	0	0.00293112	0.000441377	0	0	0	0	0.041459731	0.000307506	0.000778723	0	0	0	0.042745526	0	0.017040455	0	0	0	0.00140171	0.00091137	0	0.000455652	0	0.000268959	0.002193823	0
