uid	qHSC	aHSC	HSC-Ly	MPP5-IER	MPP5 Ly-I	MPP1-MKP	MPP1-G1	MPP2-G2	MPP2-M	MPP2-S	MPP3-IER	MPP3-S	MPP4-TCA	MPP4 Ly-I-a	MPP4 Ly-I-b	HSC-Mac-1	HSC-Mac-2	Mac-Nr1h3	ML-1a	ML-1b	ML-CC	ML-2	ML-MDP	ML-3	MEP	MkP-HSC	MkP-Kit	ErP-HSC	ErP-MEP	ErP-1	ErP-2	ErP-3	ErP-4	ErP-5	BMCP-G2	BMCP	pro-Mast	pre-Baso	Baso-Mature	MP	IG2-MP	IG2-proNeu1	EoP	proNeu-1a	proNeu-1b	proNeu-2	preNeu-1	preNeu-2	preNeu-3a	preNeu-3b	preNeu-3c	immNeu-1	immNeu-2	immNeu-3	MDP-1	MDP-2	cMoP-a	cMoP-b	D3-LM	pre-cDC1a	pre-cDC1b	pDC-CC	pDC	pre-cDC2	plasmaDC	CLP1-a	CLP1-b	CLP1-c	CLP2-Ly6d+	ALP-a	ALP-b	proB-cycling	preproB-1	pre-proB-2	preBcrII-G2M	preBcrII-S	preB-kappa	immB	matB	EILP	CHILP	ILCP-a	ILCP-b	ILC2	ILC1_3+NKP	pre-aceNKP	aceNKP
Scd1	0	0	0	0	0	0	0.006590836	0	0	0	0	0	0	0	0	0.040600498	0.106739689	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009549609	0.101927056	0.203216631	0.21346269	0	0	0	0	0	0	0	0	0	0.010286396	0	0	0	0.015681192	0	0	0	0	0	0	0	0	0	0	0.141758364	0.02641694	0	0	0	0	0.024564833	0	0	0	0	0	0	0.012161402	0	0	0.043134473	0.031248576	0.036949939	0.214684444	1.734030454	0.022662292	0	0	0	0	0	0	0
Iglc2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015681192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.443103541	0	0	0	0	0	0	0	0	0	0	0	0.037178958	0.678434663	3.85133487	0	0	0	0	0	0	0	0
H2-DMb2	0	0	0	0.017663844	0.055207487	0	0.014587802	0	0	0.013531426	0	0	0.033677484	0.0152401	0	0.022572746	0.036632663	0	0.017795365	0.016664724	0.021569957	0.022561808	0	0	0	0	0	0.018348343	0	0	0	0	0	0	0	0.019520298	0	0	0	0.024175054	0.010455566	0	0	0.01239375	0.005980281	0	0.042906328	0.019756773	0.020128911	0.02570031	0.027974244	0.019495639	0.018449062	0	0.020283016	0.029231871	0.097900428	0.037713642	0	0.309193269	0.38176648	0.03626345	0.023911016	0.074548978	0.010354455	0	0.014891715	0.045587726	0.080038459	0	0.060329347	0.028385178	0.065126089	0	0	0	0	0.151923347	1.631139564	0.018712844	0.707489494	0.015196564	0	0	0	0	0.03802394
Bank1	0.093018566	0	0.024589409	0	0.031706946	0.015757558	0.021586238	0	0.010036941	0	0	0.033843181	0.053621321	0.192543174	0.177814624	0.551357511	0.433637068	0.923938688	0	0.012270063	0	0	0	0	0.019659871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006829822	0	0	0.106989524	0.05750302	0.048527648	0.124883353	0.172114752	0.081485388	0.071168116	0.069007968	0	0	0	0	0	0	0	0.057816832	0.080623644	0.014690235	0.198577639	0.017473004	0	0.128769596	0.031615689	0.090151061	0.080621336	0.014044259	0.093396084	0.039177752	0.079993881	0.033978636	0	0.087308771	1.760760332	0	0	0.075710563	0	0	0.022410492	0.011808966	0.045265714
Cd22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039371681	0.065813993	0.253869847	0	0	0	0	0	0	0	0	0.004178918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006898564	0	0	0	0	0	0	0	0	0.011652791	0.013256112	0	0.441641291	0.298622314	0.073068913	0.131073921	0.018309815	0	0	0	0	0	0.023694957	0	0.129279869	0	0	0.095493058	0.161836739	0.042480516	0.382935118	1.293836006	0	0	0	0	0	0	0.037995771	0
Igkc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.068262429	0	0	0	0	0	0	0	0.057649541	0.062691323	0	0	0	0	10.48125562	0	0	0	0	0	0	0.114502647	0	0	0.116144603	0.087659388	0.409926582	3.718782609	5.880433576	0	0	0	0	0	0	0	0
Gm8369	0	0.011649452	0	0	0	0	0	0	0	0	0	0	0	0	0.046371104	0	0	0	0	0	0.008210851	0	0.011016045	0	0	0	0	0	0	0	0	0	0	0	0	0.039025548	0.024069431	0	0	0	0	0	0.011729626	0.013706919	0	0	0	0.078082645	0	0	0	0	0	0	0	0.020331762	0.013137173	0.030014375	0	0.043658952	0.024022733	0	0	0.016510841	0.019710641	0	0	0	0	0.025213318	0	0.04696969	0.016290604	0.009573286	0.056452629	0	0.393126397	0.343116571	1.219233082	0.035197049	0.026475466	0	0	0	0.41080274	0	0.03731128
Gm43603	0.05349533	0	0.029416391	0	0	0	0	0	0.019113642	0	0	0	0	0.025834734	0	0	0	0.028984628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008179218	0.009782305	0.064524564	0.0338775	0	0.0240822	0.016439318	0	0	0	0	0	0	0	0	0	0	0.017295973	0.030486537	0	0.019131393	0	0	0.037877216	0	0	0.033180849	0.041696262	0.072513873	0	0.028068388	0	0	0.051965454	0.755184193	0.030596569	0	0	0	0	0	0	0.04090155
Pax5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035901671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.326590195	0	0	0.016547818	0	0	0	0	0	0	0	0	0	0	0.014821336	0	0	0	0	0	0	0.036279905	0.022011839	0.02994276	1.307044919	0.465931588	0.079432311	1.786994207	1.820018758	1.656382087	2.148208369	2.562391392	0.0141507	0	0	0	0	0	0	0
Tnfrsf13c	0.196505394	0.233143733	0.288499325	0.201372306	0.234994178	0.054055178	0.098320573	0.092588585	0.0202156	0.016712175	0.026816024	0.095066505	0.356310541	0.189755308	0.140990195	0.076873237	0.118487406	0	0.137813808	0.02233299	0.032318495	0	0.028367748	0	0.048688419	0.017018624	0	0	0	0	0	0	0	0	0	0	0	0.007755742	0	0.011477799	0.013418644	0	0	0	0	0	0	0.141720807	0	0	0	0	0	0	0	0.010068073	0	0	0	0.148848399	0.057430357	0.204791236	0.140920117	0.13260737	0.526810384	0.146650482	0.031208163	0.289869533	0.141163477	0.134563877	0.103337804	0.312177717	0.107634413	0.113730594	0.512699768	0.359082769	0.309357799	0.841216293	1.805613669	0.035715228	0	0.017609356	0	0	0	0	0.157774233
Cd74	0.477748931	0.358616281	0.816374275	0.166202023	0.318582743	0	0.054491875	0.045024935	0	0	0.058612859	0.021666905	0.118677438	0.325796625	0.917149946	1.599697888	1.169595149	1.903225405	0.017306662	0	0	0	0.064646383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058308516	0	0	0	0	0	0	0.094193937	0	0	0.220934103	0	0	0	0	0	0	0	1.741391903	5.804015603	5.76204092	0.025599734	0.25216714	0	4.378098538	0.019203369	0.019099209	0.157070782	0.068995758	0.100048772	0.156699869	0.136136163	0.041631489	0	0.024509568	0.059451335	0	1.378231401	6.150602857	0.135974577	3.89685267	0.097856941	0.092101853	0.268022415	0	0.030844937	0.391167465
Cd79a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016049705	0	0	0	0	0	0.035901671	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014920058	0	0	0	0	0	0	1.281379176	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171841243	0.149135621	0	1.720483231	0	0	0	0.13119877	0.292379862	0.047864209	3.179504397	1.193207491	0.10656255	4.094881135	3.441006684	4.571329777	4.236421254	4.653979133	0.062619495	0	0	0	0	0	0	0
Cd79b	0.305545708	0.196269487	0.343500594	0.281868625	0.226444112	0.35233075	0.315033064	0.289890028	0.1593427	0.230251291	0.415588951	0.346003851	0.305297718	0.335283264	0.424445563	0.624355437	0.764467799	1.521213088	0.377267236	0.112266313	0.35635511	0.235976257	0.388260913	0.32836248	0.225505811	0.274451314	0.278837124	0.061776303	0.07918399	0	0	0	0	0	0.260771111	0.333941524	0.125084859	0.262549644	0.281779117	0.484221023	0.316334357	0.356490176	0.254205389	0.380891993	0.219763042	0.262668399	0.228653282	1.147795105	0.01025315	0	0.084540571	0	0	0.030916939	0.435991305	0.404717113	0.426310733	0.498665722	0.146984131	0.104535465	0.131692231	0.319318828	0.246374789	0.248973639	1.165103561	0.255284026	0.340198854	0.413285874	0.41871528	0.346996378	0.112104024	2.083567734	1.124451852	0.316417773	2.934796671	2.616676206	3.741339087	4.423571937	4.441986207	0.205722402	0.509712144	0.318399842	0.21854135	0.207339193	0.173202699	0.290313202	0.076799264
Spib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013499833	0	0	0.018660215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.073278979	0	0	0	0	0	0	0	0	0	0	0	0	0.094311308	0.664298988	0.958123102	0.114252311	0.127947902	0	0	0.033209698	0	0	0.01758169	0.012161402	0.014388712	0	0.334109887	0.260470478	0.703904634	2.023410674	1.845846963	0.035197049	0.11837075	0	0	0	0	0.040967597	0
H2-Eb1	0.147240433	0.157906435	0.227612924	0.011767457	0.079157956	0	0.064273064	0.031642066	0.012837097	0.008458814	0	0	0.014780982	0.151163264	0.210466457	0.33186279	0.408046959	0.418407031	0.066835934	0	0	0	0.029183767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125541148	0	0	0	0	0	0	0	0.872574869	3.63677439	4.339180143	0.031835828	0.102790492	0	0.492625494	0	0.066601406	0.07452003	0.033372299	0	0.15523456	0.117632178	0.035582478	0.034343441	0	0.079047045	0	0.274264912	3.545776307	0.044311555	2.47760795	0.033701539	0.07326373	0	0	0.036364974	0.20397709
Fcrla	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008111298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01069061	0	0	0	0	0	0	0	0	0	0	0	0	0.023666354	0	0	0	0	0	0	0	0	0	0	0	0.08722757	0.11378803	0.242769535	0.30898908	0.079691779	1.126724862	0	0	0	0	0.023233426	0	0.012161402	0	0	0.104739117	0.15235743	0.286648938	2.490117212	1.602915473	0	0	0	0	0	0	0	0
Klhl14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01739915	0	0	0.309452439	0	0	0	0	0	0	0	0
Btla	0	0	0	0.032056014	0.023192048	0	0.009034775	0	0.019113642	0.006969219	0	0.011604811	0.099085857	0.157996931	0.166454335	0.018674595	0.091205373	0	0.01834593	0.055574087	0.026758604	0.013741054	0.020124526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056371809	0	0.010148928	0	0	0	0.009124073	0.007444394	0	0	0	0	0.02044731	0	0	0	0.032365499	0.057277185	0.112502844	0.156931593	0.340279509	0.426005672	0.010829021	0.064170759	0.067170889	0.231271079	0.024094984	0.017701857	0.101248361	0.100508597	0.025616715	0.052779054	0.047330046	0.019965438	0.013371163	0.027876438	0	0	0.058588752	0.909273343	0.012245219	0	0	0	0	0.017557968	0	0.038987331
