UID	MyoFB - Activated	Adventitial FB	PLIN2+ FB	Alveolar FB	Mesothelial	aCap	gCap	Inflamed	Venule	Systemic venous	Arteriole	Lymphatic	AT1	KRT5-/KRT17+	Transitional AT2	AT2	Proliferating - Epi	Secretory - SCGB1A1+/MUC5B+	Secretory - SCGB1A1+/SCGB3A2+	Secretory - SCGB3A2+	Basal	NK	CD4	CD8/NKT	Mast	pDC	PNEC	B cells	Plasma	cDC1	Monocyte	cDC2	Inflammatory monocyte	moDC	Proliferating - Imm	Alveolar macrophage	Monocyte-derived macrophage	Interstitial macrophage	Pericyte	SMC	MyoFB	Ciliated	Differentiating ciliated
MYH10	0.688946831	0.538825447	0.450031217	1.253279275	0.70034587	0.013904056	0	0	0.095985285	0.157742311	0.092201415	0.466216616	0.068618028	0.252911637	0.097445235	0.068773893	0.238669897	0.101233341	0.172856252	0.140102625	0.160311346	0	0.010349521	0.001181603	0.008909044	0.01132708	0.095032038	0	0.023799011	0.0141154	0.002151315	0.000556082	0.002793315	0.004454666	0.010980035	0.000698052	0.002154262	0.000920681	0.138762762	0.734557192	1.0121658	0.2008743	0.239325889
ABCA6	0.239510746	0.985325264	0.619658049	0.96321106	0.14664003	0.006535485	0	0	0.010679457	0.004772308	0.0136776	0.038698092	0.001936204	0	0.010428444	0.005251276	0.001322325	0.00814462	0.004735836	0.014836868	0.005622338	0	0.001021191	0.001208751	0.012224299	0.107703894	0	0.039192513	0.010108459	0.151400501	0.00347111	0.162232966	0.038985736	0.148523563	0.033482009	0.005921415	0.016177826	0.010165286	0.057299576	0.004383458	0.17199324	0.028729544	0.01287666
UNC5C	0.299612912	0.215129328	0.110032995	0.425685661	0.022867014	0	0	0	0.001052656	0.002009645	0	0.001163295	0	0.019628865	0	0.00018794	0.004234447	0.013290523	0.008627359	0.002031399	0.015017148	0	0.002447138	0.000110596	0.000463859	0	0	0	0	0	0.000391959	0.000735427	0.000599825	0.000177969	0.000477164	0.000232062	0.000345622	0.001074327	0.204858324	0.21124525	0.119797324	0.000794136	0.002382985
LUM	2.476008339	2.430756856	1.964571432	2.663821412	0.040071416	0.005438695	0	0	0.006921404	0.007810798	0.007440398	0.006418535	0.004404626	0.007748324	0.024867999	0.007046533	0.009116473	0.00505683	0.011139568	0.007010301	0.031735171	0.009080414	0.029434768	0.006455888	0.015326068	0.007122894	0	0.008527501	0	0.015340358	0.006630377	0.005447215	0.007035615	0.015389455	0.003690361	0.005442602	0.007632107	0.004075038	0.640608878	0.1005707	1.787778303	0.004991935	0.001805122
HSD11B1	0.096311651	0.443428803	0.089581733	0.540832566	0	0	0	0	0	0.000279619	0	0	0	0	0	7.54E-05	0	0	0	0	0.000121959	0	0.002011589	0.003572396	0.000452875	0	0	0	0.001723596	0.048051172	0.000446541	0.001640874	0.008032026	0.017961164	0.015027664	0.011168152	0.021202938	0.232703554	0.081845393	0.002580815	0.271553351	0	0.000840864
COL13A1	0.1859738	0.095076565	0.054225165	0.389860795	0.001898209	0.004490439	0	0	0.018944548	0.025060627	0.00790337	0.002403002	0	0.045859582	0.005043204	0.005045568	0.004742956	0.005285295	0.000871405	0.024046776	0.002787137	0.036615142	0	0	0.170783577	0	0	0	0	0.004210464	0.000187384	0.000918261	0.000666784	0.000876792	0.001274196	0.000176774	0.000267245	0.002980571	0.052755474	0.044236858	0.12092202	0	0.003394659
COL6A3	2.35105024	1.679624026	1.62473529	2.389161986	0.067455698	0.052747819	0.019909047	0	0.023983426	0.06902444	0.024248378	0.031070691	0.039296572	0.049112131	0.052474725	0.073368238	0.073479553	0.050352664	0.041982869	0.062716841	0.084604802	0.009188331	0.029466966	0.038260354	0.053069736	0.01457515	0	0.024913348	0.12538898	0.035568784	0.042652861	0.061650644	0.052073651	0.04386368	0.069739669	0.048670879	0.082798807	0.115363877	1.239058514	0.124123636	1.057903226	0.05970167	0.073771206
LAMA2	0.966427733	1.472691388	0.916438764	1.561920112	0.004019561	0.003564074	0	0	0.002552583	0.00340462	0.009389436	0	0	0.018151896	0.003585546	0.001474086	0.021687105	0.002486067	0.001662696	0.00143767	0.002556647	0.007061602	0.01116035	0.003700374	0.000674783	0	0	0.008076548	0.001723596	0	0.002957463	0.003083481	0.003091646	0.001059285	0.011379947	0.001625931	0.002838606	0.004101686	0.373490313	0.011535425	0.762300921	0.053686503	0.015358597
EMILIN1	1.300144887	0.761924364	0.966779522	1.433626303	0.229658986	0.005737575	0	0	0.005083956	0.001506802	0.003294651	0.247674921	0.014228454	0.001747321	0.005239433	0.001922001	0.002549048	0.000618185	0.000834674	0.000727762	0.001941902	0.000794165	0	0.000646107	0.02381878	0.057471595	0	0	0.009797419	0.006830342	0.009382007	0.011529367	0.009359176	0.026752718	0.029413635	0.006546502	0.016708976	0.101414885	0.2349849	0.516123815	0.720611438	0.001984264	0
HMCN1	0.885165813	0.526601091	0.233939721	1.172622197	0.01158386	0.056633843	0.03346866	0	0.057187809	0.03244759	0.204382125	0.16661436	0.01425635	0.035412801	0.195371576	0.087508244	0.111656147	0.043485941	0.156292915	0.26090484	0.203542414	0	0.011187968	0.003368138	0.000923605	0	0	0.002558402	0.002064612	0	0.001234474	0.001074893	0.00075782	0.000888265	0.006059857	0.001431932	0.001853339	0.000321656	0.072664816	0.325519812	0.660482197	0.001379639	0.0574621
